Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACEDEPRS,ADDEPEV3,LRS Regressor,No,Yes,0.282275016122252,0.2724183924369749,0.2921316398075291
ACEDEPRS,ADDEPEV3,Neural Network (MLP),No,Yes,0.2973265426806546,0.2878053282487113,0.306847757112598
ACEDEPRS,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,0.2632320763892591,0.2539322050539176,0.2725319477246007
ACEDEPRS,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.2629386025072885,0.2536141064441687,0.2722630985704082
ACEDEPRS,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.2612866754760802,0.2612474466330132,0.2613259043191472
ACEDRINK,ADDEPEV3,LRS Regressor,No,Yes,0.130217758541495,0.1220288891179817,0.1384066279650082
ACEDRINK,ADDEPEV3,Neural Network (MLP),No,Yes,0.1355546866041333,0.1274545900813342,0.1436547831269325
ACEDRINK,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,0.1166796615976319,0.1087167585614363,0.1246425646338274
ACEDRINK,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1180698761712153,0.1100919110077595,0.126047841334671
ACEDRINK,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1160527480786223,0.1160194268594907,0.1160860692977539
ACEDRUGS,ADDEPEV3,LRS Regressor,No,Yes,0.1767967801943831,0.1641040235799064,0.1894895368088597
ACEDRUGS,ADDEPEV3,Neural Network (MLP),No,Yes,0.1943416821988132,0.1819770362608449,0.2067063281367816
ACEDRUGS,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,0.1593572998361098,0.147458384852736,0.1712562148194835
ACEDRUGS,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1575909085439633,0.1456098096223646,0.1695720074655619
ACEDRUGS,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1575694378762983,0.1575186474253204,0.1576202283272761
ACEPRISN,ADDEPEV3,LRS Regressor,No,Yes,0.138732354931494,0.1242801304797451,0.1531845793832429
ACEPRISN,ADDEPEV3,Neural Network (MLP),No,Yes,0.0937250557794463,0.0796488903400032,0.1078012212188893
ACEPRISN,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,0.1150860999691654,0.1015795546229777,0.1285926453153532
ACEPRISN,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,0.1131044636236826,0.0994435980720849,0.1267653291752804
ACEPRISN,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,0.1145925370524721,0.1145344069527954,0.1146506671521488
ACEDIVRC,ADDEPEV3,LRS Regressor,No,Yes,-0.0744425855528601,-0.0824878602563279,-0.0663973108493924
ACEDIVRC,ADDEPEV3,LRS Regressor,No,Parents not married,0.0132121345124046,-0.0188543378827508,0.0452786069075601
ACEDIVRC,ADDEPEV3,Neural Network (MLP),No,Yes,-0.0717911351963684,-0.0795777624994171,-0.0640045078933197
ACEDIVRC,ADDEPEV3,Neural Network (MLP),No,Parents not married,0.0577687054628078,0.0250646999965014,0.0904727109291142
ACEDIVRC,ADDEPEV3,BaseXRegressor (XGBoost),No,Yes,-0.0601088399572408,-0.0677375337104854,-0.0524801462039961
ACEDIVRC,ADDEPEV3,BaseXRegressor (XGBoost),No,Parents not married,-0.0007305450162468,-0.0275414167665937,0.0260803267341001
ACEDIVRC,ADDEPEV3,BaseDRLearner (XGBoost),No,Yes,-0.0610923893146264,-0.0687355149492011,-0.0534492636800517
ACEDIVRC,ADDEPEV3,BaseDRLearner (XGBoost),No,Parents not married,-0.1042175679179402,-0.1334454804039669,-0.0749896554319135
ACEDIVRC,ADDEPEV3,BaseRLearner (XGBoost),No,Yes,-0.0590120970447111,-0.0590433910106535,-0.0589808030787687
ACEDIVRC,ADDEPEV3,BaseRLearner (XGBoost),No,Parents not married,0.0245523801624678,0.024422294744671,0.0246824655802645
ACEPUNCH,ADDEPEV3,LRS Regressor,Never,Once,0.0893747734101228,0.0710089738710436,0.107740572949202
ACEPUNCH,ADDEPEV3,LRS Regressor,Never,More than once,0.1573875472326585,0.1461463025380688,0.1686287919272482
ACEPUNCH,ADDEPEV3,Neural Network (MLP),Never,Once,0.0732487713276659,0.0549540238444488,0.091543518810883
ACEPUNCH,ADDEPEV3,Neural Network (MLP),Never,More than once,0.1367493583023559,0.1256332650217871,0.1478654515829247
ACEPUNCH,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.0821488983553061,0.0652999006086064,0.0989978961020058
ACEPUNCH,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.1369174485096151,0.1261503162597664,0.1476845807594637
ACEPUNCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.0719680209039484,0.0546900050927515,0.0892460367151452
ACEPUNCH,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1356615407214121,0.1248461524119095,0.1464769290309147
ACEPUNCH,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.0814887536290082,0.0814136402982329,0.0815638669597836
ACEPUNCH,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1350497216945734,0.1350038979070079,0.1350955454821389
ACEHURT1,ADDEPEV3,LRS Regressor,Never,Once,0.0904932314456115,0.0763515022461888,0.1046349606450341
ACEHURT1,ADDEPEV3,LRS Regressor,Never,More than once,0.1573657209846787,0.1480949026565621,0.1666365393127953
ACEHURT1,ADDEPEV3,Neural Network (MLP),Never,Once,0.1176132786401253,0.1031113673298363,0.1321151899504143
ACEHURT1,ADDEPEV3,Neural Network (MLP),Never,More than once,0.1762774347570334,0.167084635271049,0.1854702342430177
ACEHURT1,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.0862318151095175,0.0729011574596176,0.0995624727594173
ACEHURT1,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.1419404501375702,0.1329828774234178,0.1508980228517226
ACEHURT1,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.083310811940084,0.069811703484944,0.096809920395224
ACEHURT1,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1405025543946514,0.1315244426337531,0.1494806661555497
ACEHURT1,ADDEPEV3,BaseRLearner (XGBoost),Never,Once,0.0833097174591163,0.0832515974956848,0.0833678374225478
ACEHURT1,ADDEPEV3,BaseRLearner (XGBoost),Never,More than once,0.1404743533378178,0.1404366211549874,0.1405120855206482
ACESWEAR,ADDEPEV3,LRS Regressor,Never,Once,0.0682631614776237,0.0532021099670489,0.0833242129881985
ACESWEAR,ADDEPEV3,LRS Regressor,Never,More than once,0.1799443211038925,0.1721340380804104,0.1877546041273745
ACESWEAR,ADDEPEV3,Neural Network (MLP),Never,Once,0.0969401357647822,0.0819493655159346,0.1119309060136298
ACESWEAR,ADDEPEV3,Neural Network (MLP),Never,More than once,0.1796626725932867,0.1719973727611809,0.1873279724253926
ACESWEAR,ADDEPEV3,BaseXRegressor (XGBoost),Never,Once,0.0700430032967587,0.0559622912954079,0.0841237152981094
ACESWEAR,ADDEPEV3,BaseXRegressor (XGBoost),Never,More than once,0.170226640191682,0.1627106395536864,0.1777426408296775
ACESWEAR,ADDEPEV3,BaseDRLearner (XGBoost),Never,Once,0.0682805315393018,0.0539293478115888,0.0826317152670148
ACESWEAR,ADDEPEV3,BaseDRLearner (XGBoost),Never,More than once,0.1700831192156451,0.1625558020459062,0.177610436385384
